Type                                  Module                      Label             Process   
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLeadingPionPtCut"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLeadingTrackFinding"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLeadingTrackPtCut"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLooseElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLooseIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByLooseMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByMediumElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByMediumIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTanc"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancLoose"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancMedium"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancRaw"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancTight"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTancVLoose"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTightElectronRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTightIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByTightMuonRejection"   ""                "HLT"     
reco::PFTauDiscriminator              "hpsTancTausDiscriminationByVLooseIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationAgainstElectron"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationAgainstMuon"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByECALIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByECALIsolationUsingLeadingPion"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByIsolation"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByIsolationUsingLeadingPion"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByLeadingPionPtCut"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByLeadingTrackFinding"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByLeadingTrackPtCut"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNC"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrHalfPercent"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrOnePercent"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrQuarterPercent"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTaNCfrTenthPercent"   ""                "HLT"     
reco::PFTauDiscriminator              "shrinkingConePFTauDiscriminationByTrackIsolation"   ""                "HLT"     
